LD50_mgkg,Canonical_SMILES
25.0,CCCP(=O)(OC)SC
930.0,O=c1[nH]c(=O)n(C2CCCO2)cc1F
2820.0,CN(CCO)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1
18000.0,Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1
62.0,BrC=CBr
0.158,CC(=O)O[C@@]1(C)C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1
1005.0,CCOC(=S)C=Cc1cc(OC)c(OC)c(OC)c1
500.0,N#CN=c1ccccn1Cc1ccccc1Cl
4000.0,*C.*C.C1CCOC1
1550.0,O=C1NC(=O)[C@]2(c3ccc(Cl)cc3)C[C@H]12
1050.0,CCN(CC)C(=O)[C@@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@H]1OC(C)=O
20.0,CC=CC(C)C1(CC)C(=O)NC(=O)NC1=O
30.8,CN(C)C(=O)ON=C(C#N)c1ccccc1
160.0,CN(C)N=Nc1cccnc1
517.0,N#CC(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1
80.0,CCOP(=S)(OCC)SC(=CC(=O)OC)C(=O)OC
55.0,CCCN=C(C(OC)c1ccccc1)N1CCCCCC1
3.54,CC1C(=NOC(=O)N(C)SC(Cl)(Cl)Cl)SCC(=O)N1C
2300.0,CCN(CC)C(=O)CC(C)=Cc1ccccc1
52.0,NC(=O)ON=C1CSCCS1
2.0,CNC(=O)ON=C1CSC(C)(C)S1
957.0,CCOC(=O)C=Cc1ccc(Cl)cc1
1200.0,CN1CCCCC1CCN1c2ccccc2Sc2ccc(Cl)cc21
353.0,CC(C)=CCN(CC=C(C)C)CCC(C(N)=O)c1cccc2ccccc12
500.0,CCOc1ccccc1N1CCN(CC=Cc2ccc3c(c2)CCC(=O)N3)CC1
500.0,CCOc1ccccc1N1CCN(CCC=Cc2ccc3c(c2)CCC(=O)N3)CC1
500.0,CCOc1ccccc1N1CCN(CCC=Cc2ccc3[nH]c(=O)ccc3c2)CC1
24.0,*C#N.CNC(=O)ON=C1C2CCC(C2)C1Cl
11800.0,CC(CCCCCCCCCCCCCCCCC(=O)O)N(C)Cc1cc(C(C)N(C)CCCCCCCCCCCCCCCCCC(=O)O)cc(C(C)N(C)CCCCCCCCCCCCCCCCCC(=O)O)c1O
80.0,C#CCON=CC1=CCCNC1.Cl
2060.0,Cc1ccc2c(c1)c1c3n2CCNC3CCC1.Cl
1295.0,COc1cc(C=CC(=O)N2CCN(CC(=O)NC(C)C)CC2)cc(OC)c1OC.O=C(O)C=CC(=O)O
1220.0,O=C([O-])C=Cc1ccc([N+](=O)[O-])o1.[Na+]
235.0,Cl.c1cncc([C@@H]2CCCCN2)c1
1350.0,CN1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1.O=C(O)C=CC(=O)O
2410.0,O=C(O)C=CC(=O)O.OCCN1CCCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
32.0,CC(=O)OCC#N
620.0,C=C(CO)C(=O)OCC
1500.0,CN(C)CCOc1ccnc(N)n1
820.0,S=P(OCCCl)(OCCCl)OCCCl
1800.0,NC(=O)C1c2ccccc2C=Cc2ccccc21
260.0,OP(OCCCl)OCCCl
1500.0,Cn1c2c(c(=O)n1-c1ccccc1)CCCC2
900.0,Cc1nc2cnc3ccccc3c2s1.Cl
337.0,COc1ccc(C(=C(C#N)CCC(=O)O)c2ccc(OC)cc2)cc1
4000.0,CCCc1c(OCc2cccn3c(=O)c(CCC(=O)O)cnc23)ccc(C(C)=O)c1O
5600.0,Cc1ccc(C(=O)c2ccccc2)c(C(=O)O)c1
400.0,COc1cc(-n2ccnc2)ncn1
2830.0,O=Cc1ccccc1-c1ccccc1C=O
500.0,COc1ccc2c(c1)OC(C)(C)[C@H](c1ccccc1)[C@H]2c1ccc(OCCBr)cc1
20.0,O=S(=O)(O)O.OCC(CO)(CCl)CCl
708.0,c1ccc2c(C(CCN3CCOCC3)CCN3CCOCC3)cccc2c1
374.0,Cl.Cl.Clc1cnn(CCCCN2CCN(c3ncccn3)CC2)c1
72.0,CCCC(C)(O)C1C[C@@]23C=CC1(OC)C1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5.Cl
126.0,CNC(=O)Oc1cccc2c1OCCO2
1030.0,Cc1cc(O)c(C(C)(C)C)cc1C
50.0,CNCc1cccc2ccccc12
780.0,C=CCOc1ccccc1C(N)=O
33.0,O=[N+]([O-])c1ccc(OP(=O)(OCCCCl)OCCCCl)cc1
15000.0,O=C1c2cccc(S(=O)(=O)[O-])c2C(=O)c2c1cccc2S(=O)(=O)[O-].[K+].[K+]
900.0,CCN(CC)CCNc1c(Cl)cc(C)c2ncccc12
2500.0,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccc(Cl)c(Cl)c3)C(=O)N2[C@H]1C(=O)[O-].[K+]
4920.0,CCCCCCOCCOCCOCC
4000.0,Cc1cc(OCC(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)[O-])ccc1Cl.[K+]
75.0,CCC(C)(C)c1ccc(Cl)c(OC(=O)NC)c1
1200.0,O=C(c1ccc(Cl)cc1)n1cc(Cc2nn[nH]n2)c2ccccc21
