Canonical_SMILES,LD50_mgkg
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,810.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,914.0
ClC(Cl)(Cl)c1ccccc1,1590.0
O=C(O)CN(CC(=O)O)CC(=O)O,1375.0
COP(=O)(OC)OC1=C(Cl)C2C=CCC12,96.0
O=[N+]([O-])OC1COC2C(O)COC12,2010.0
CC(=O)OCCC1CCCCC1,3200.0
O=c1nc(O)n(Cl)c(=O)n1Cl,1671.0
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,150.0
CNC(=O)Oc1ccc(C)c2c1OC(C)(C)O2,9.0
O=c1[nH]sc2ccccc12,1020.0
CCSC(SCC)=C(C#N)C#N,780.0
Cc1cc(C)c(C)cc1C,6989.0
COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,4200.0
CC=CC(=O)OCC,3000.0
COP(=O)(OC)SCC(Cl)(Cl)Cl,150.0
CCCCCCCCCCCCOC(=O)CS(=O)(=O)O,700.0
C1COCCOCCOCCOCCOCCO1,525.0
CC(C)(S)C(=O)NC(CS)C(=O)O,5220.0
O=C1CCCCCCCCCCCN1,2330.0
CC(=O)CC(=O)Nc1ccccc1Cl,4040.0
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,162.0
c1ccc(Cc2ccccc2)cc1,2250.0
CCC(O)CC,1870.0
CC(=O)OCN(C)N=O,130.0
O=C(CCCN1CCC(O)CC1)c1ccc(F)cc1,2400.0
C=COCCCC,10000.0
CC=Cc1ccc(O)c(OC)c1,1560.0
COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC,3200.0
Cc1c(-c2ccccc2)oc2c(C(=O)O)cccc2c1=O,1655.0
Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,0.8
CCc1ccc([N+]([O-])=Cc2ccccc2)cc1,1345.0
CN(C)CCC(c1ccccc1)c1ccccn1,520.0
